  523  33.3005 35.2396     266    61    64   202  
  524  32.7469 34.3545     526   260    67   459  
  525  33.2509 35.8700     388   138    48   340  
  526  32.5918 34.1938     347    41    35   312  
  527  32.8594 34.9889     390    43    71   319  
  528  35.7927 35.1499     282   108    37   245  
  529  33.6385 36.1309     473   191    26   447  
  530  33.6148 34.4859     257   216    31   226  
  531  32.9842 32.6654     413   156    53   360  
  532  33.8105 32.7974     423    10    44   379  
  533  35.9070 35.1949     216   207    35   181  
  534  33.0808 34.3196     320   104    51   269  
  535  35.4837 34.7618     231    89    61   170  
  536  32.0633 33.9236     482   251    28   454  
  537  31.6754 32.7232     489     7    55   434  
  538  32.2072 31.7270     461    28    49   412  
  539  31.8191 31.4564     341   120    36   305  
  540  34.0406 32.3172     816   475    32   784  
  541  34.6838 33.6612     502   314    64   438  
  542  33.6705 32.3189     607   105    28   579  
  543  31.9609 34.5110     437   170   125   312  
  544  33.0765 30.7022     330   107    39   291  
  545  32.5063 34.9010     274    56    70   204  
  546  35.7999 33.4000     108   166    73    35  
  547  32.9534 32.8868     514   406    21   493  
  548  33.9976 33.1001     434    80    25   409  
  549  32.8893 31.9580     500    66    46   454  
  550  33.3481 32.1305     468    32    32   436  
  551  37.1113 32.7179     439    29    59   380  
  552  34.4700 31.9839     469    30    67   402  
  553  32.1325 30.1891     281   188    49   232  
  554  35.2639 31.7365     383   102    38   345  
  555  34.0782 32.2332     355    28    67   288  
  556  34.9529 33.8673     291    64    42   249  
  557  34.1815 32.3649     287     4    55   232  
  558  34.6132 33.9183     370    83    36   334  
  559  33.4833 33.0012     290    80    69   221  
  560  33.8685 32.2673     340    50    31   309  
  561  35.2397 32.5974     288    52    36   252  
  562  32.4648 32.8351     157   131    75    82  
  563  34.6657 31.2309     385   228    32   353  
  564  33.2798 32.4112     335    50    54   281  
  565  32.7084 32.4813     346    11    27   319  
  566  33.3581 33.0407     513   167    62   451  
  567  33.8646 29.5726     295   218    25   270  
  568  31.8610 32.9778     441   146    75   366  
  569  33.6653 31.7169     485    44    18   467  
